latitude,longitude,density
-78.93333,18.11667,42.68
-78.95313,18.21237,23.71
-78.90824,17.84105,39.91
-78.89741,17.92913,59.95
-78.88524,18.02822,17.71
-78.87306,18.1273,23.31
-78.86088,18.22639,43.85
-78.85129,18.34648,22.64
-78.84694,18.45121,0
-78.84787,18.55492,4.93
-78.84812,18.58263,32.12
-78.8488,18.65787,0
-78.84783,18.3135,5.44
-78.84882,18.44679,10.88
-78.8498,18.58007,16.52
-78.85073,18.70575,11.86
-78.85167,18.83183,34.99
-78.87953,18.82756,146.77
-78.90267,18.824,127.1
-78.92817,18.82009,142.83
-78.95367,18.81617,197.11
-78.97917,18.81226,125.96
-79.00467,18.80834,58.71
-79.01898,18.8356,118
-79.01967,18.96804,116.35
-79.02035,19.10048,149.61
-79.02103,19.23293,158.08
-79.02171,19.36537,97.69
-79.01935,19.45439,100.55
