"","lon","lat","ele","time","name","sym"
"1",-121.907055,36.593451,"48.197628","2019-10-10T17:45:33Z","002","Flag, Blue"
"2",-121.907032,36.593423,"48.934093","2019-10-10T17:45:51Z","003","Flag, Blue"
"3",-121.907178,36.593443,"50.766663","2019-10-10T17:47:29Z","004","Flag, Blue"
"4",-121.907141,36.593468,"51.801243","2019-10-10T17:48:13Z","005","Flag, Blue"
"5",-121.907233,36.593473,"51.983978","2019-10-10T17:48:37Z","006","Flag, Blue"
"6",-121.907244,36.593357,"51.000710","2019-10-10T17:49:09Z","007","Flag, Blue"
"7",-121.907254,36.593254,"52.027031","2019-10-10T17:49:34Z","008","Flag, Blue"
"8",-121.907155,36.593233,"50.140911","2019-10-10T17:50:11Z","009","Flag, Blue"
"9",-121.907043,36.593204,"48.855873","2019-10-10T17:50:39Z","010","Flag, Blue"
"10",-121.906919,36.593192,"48.047573","2019-10-10T17:51:27Z","011","Flag, Blue"
"11",-121.906979,36.593218,"48.801136","2019-10-10T17:52:09Z","012","Flag, Blue"
"12",-121.906925,36.59322,"49.358833","2019-10-10T17:52:36Z","013","Flag, Blue"
"13",-121.906888,36.593188,"48.421867","2019-10-10T17:54:22Z","014","Flag, Blue"
"14",-121.906906,36.593339,"51.546524","2019-10-10T17:58:18Z","015","Flag, Blue"
"15",-121.907037,36.593422,"54.550808","2019-10-10T17:59:17Z","016","Flag, Blue"
