"","t","n","n_lead","n_change","per_capita_change","pop_growth_rate"
"1",1,1,1.49,0.49,0.49,0.49
"2",2,1.49,2.212799,0.722799,0.4851,0.722799
"3",3,2.212799,3.27023370585599,1.05743470585599,0.47787201,1.05743470585599
"4",4,3.27023370585599,4.79840627387482,1.52817256801883,0.46729766294144,1.52817256801883
"5",5,4.79840627387482,6.96736238312062,2.1689561092458,0.452015937261252,2.1689561092458
"6",6,6.96736238312062,9.96560218890368,2.99823980578307,0.430326376168794,2.99823980578307
"7",7,9.96560218890368,13.9552710134807,3.98966882457702,0.400343978110963,3.98966882457702
"8",8,13.9552710134807,18.9854106296241,5.0301396161434,0.360447289865193,5.0301396161434
"9",9,18.9854106296241,24.8736577766817,5.88824714705761,0.310145893703759,5.88824714705761
"10",10,24.8736577766817,31.1234981531078,6.24984037642607,0.251263422233183,6.24984037642607
"11",11,31.1234981531078,36.9985258567966,5.87502770368886,0.188765018468922,5.87502770368886
"12",12,36.9985258567966,41.8088796294345,4.81035377263782,0.130014741432034,4.81035377263782
"13",13,41.8088796294345,45.2334952854663,3.42461565603183,0.0819112037056554,3.42461565603183
"14",14,45.2334952854663,47.3895519707964,2.15605668533013,0.047665047145337,2.15605668533013
"15",15,47.3895519707964,48.6266315962665,1.23707962547005,0.0261044802920356,1.23707962547005
"16",16,48.6266315962665,49.2944543904095,0.667822794143021,0.0137336840373351,0.667822794143021
"17",17,49.2944543904095,49.6422492491326,0.347794858723127,0.00705545609590502,0.347794858723127
"18",18,49.6422492491326,49.8198447685689,0.177595519436224,0.00357750750867371,0.177595519436224
"19",19,49.8198447685689,49.9095978252103,0.0897530566414559,0.00180155231431152,0.0897530566414559
"20",20,49.9095978252103,49.9547171870731,0.0451193618627741,0.000904021747896823,0.0451193618627741
"21",21,49.9547171870731,49.9773380882051,0.0226209011319867,0.000452828129269048,0.0226209011319867
"22",22,49.9773380882051,49.9886639084801,0.0113258202749975,0.00022661911794919,0.0113258202749975
"23",23,49.9886639084801,49.9943306691703,0.00566676069025362,0.000113360915199262,0.00566676069025362
"24",24,49.9943306691703,49.997165013172,0.00283434400171956,5.66933082968024e-05,0.00283434400171956
"25",25,49.997165013172,49.9985824262145,0.00141741304247489,2.83498682795608e-05,0.00141741304247489
"26",26,49.9985824262145,49.9992911930121,0.000708766797586691,1.41757378548213e-05,0.000708766797586691
"27",27,49.9992911930121,49.999645591482,0.000354398469873729,7.0880698789438e-06,0.000354398469873729
"28",28,49.999645591482,49.9998227944849,0.00017720300295565,3.54408518019254e-06,0.00017720300295565
"29",29,49.9998227944849,49.9999113969285,8.8602443518937e-05,1.77205515073765e-06,8.8602443518937e-05
"30",30,49.9999113969285,49.9999556983857,4.43014572653055e-05,8.86030715406968e-07,4.43014572653055e-05
"31",31,49.9999556983857,49.9999778491732,2.21507875153293e-05,4.43016142833191e-07,2.21507875153293e-05
"32",32,49.9999778491732,49.9999889245817,1.10754084801101e-05,2.21508267734028e-07,1.10754084801101e-05
"33",33,49.9999889245817,49.9999944622896,5.53770792066643e-06,1.10754182946307e-07,5.53770792066643e-06
"34",34,49.9999944622896,49.9999972311445,2.76885487693335e-06,5.53771036719141e-08,2.76885487693335e-06
"35",35,49.9999972311445,49.9999986155722,1.38442766939306e-06,2.76885549211734e-08,1.38442766939306e-06
"36",36,49.9999986155722,49.9999993077861,6.92213887987236e-07,1.38442781430728e-08,6.92213887987236e-07
"37",37,49.9999993077861,49.999999653893,3.46106958204473e-07,6.92213925992148e-09,3.46106958204473e-07
"38",38,49.999999653893,49.9999998269465,1.73053486207664e-07,3.46106974811128e-09,1.73053486207664e-07
"39",39,49.9999998269465,49.9999999134733,8.65267466565456e-08,1.73053493912041e-09,8.65267466565456e-08
"40",40,49.9999999134733,49.9999999567366,4.32633697755591e-08,8.65267397008558e-10,4.32633697755591e-08
"41",41,49.9999999567366,49.9999999783683,2.16316848877796e-08,4.32633698129935e-10,2.16316848877796e-08
"42",42,49.9999999783683,49.9999999891842,1.08158459966035e-08,2.16316920025655e-10,1.08158459966035e-08
"43",43,49.9999999891842,49.9999999945921,5.40791944558805e-09,1.08158388935157e-10,5.40791944558805e-09
"44",44,49.9999999945921,49.999999997296,2.70395617008035e-09,5.4079123407456e-11,2.70395617008035e-09
"45",45,49.999999997296,49.999999998648,1.35198519046753e-09,2.70397038108129e-11,1.35198519046753e-09
"46",46,49.999999998648,49.999999999324,6.75989042520087e-10,1.35197808507673e-11,6.75989042520087e-10
"47",47,49.999999999324,49.999999999662,3.37990968546364e-10,6.75981937101868e-12,3.37990968546364e-10
"48",48,49.999999999662,49.999999999831,1.68995484273182e-10,3.37990968548649e-12,1.68995484273182e-10
"49",49,49.999999999831,49.9999999999155,8.45048475639487e-11,1.69009695128469e-12,8.45048475639487e-11
"50",50,49.9999999999155,49.9999999999578,4.22488710682956e-11,8.44977421367339e-13,4.22488710682956e-11
"51",51,49.9999999999578,NA,NA,NA,NA
